epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.85496,0.95802,3.55404,1.05328,0.00716,0.96429,0.11892,0.09035,0.76014,3.51267,0.87023,0.00011669,0.00011669,0.00011669
2,4.81416,0.87165,2.84902,0.9454,0.00673,1,0.21365,0.18536,0.76324,3.30089,0.87267,0.000248812,0.000248812,0.000248812
3,5.68342,0.83851,1.89994,0.91969,0.0067,1,0.33865,0.30212,0.74176,3.06539,0.86344,0.000379614,0.000379614,0.000379614
4,6.54647,0.80403,1.39948,0.89065,0.00674,1,0.57502,0.41207,0.74952,3.12199,0.85077,0.000509096,0.000509096,0.000509096
5,7.40861,0.76252,1.26511,0.89841,0.0069,1,0.54894,0.34803,0.80346,3.31383,0.89203,0.000637257,0.000637257,0.000637257
6,8.23291,0.76514,1.15954,0.8906,0.00704,0.96429,0.44114,0.22688,0.87486,3.36055,0.93278,0.000764099,0.000764099,0.000764099
7,9.03676,0.79048,1.12554,0.89074,0.00717,1,0.39888,0.26995,0.81171,3.18306,0.87963,0.00088962,0.00088962,0.00088962
8,9.86666,0.76409,1.05834,0.88389,0.00711,1,0.16586,0.13368,0.76846,3.23147,0.90309,0.00101382,0.00101382,0.00101382
9,10.7063,0.83629,1.10282,0.89966,0.00682,1,0.73286,0.55152,0.8029,2.96466,0.91737,0.0011367,0.0011367,0.0011367
10,11.5561,0.82083,1.06205,0.93813,0.00669,1,0.82525,0.63903,0.79807,2.88652,0.89632,0.00125826,0.00125826,0.00125826
11,12.3589,0.79255,1.03737,0.90736,0.00675,1,0.78147,0.58403,0.77308,2.91078,0.88425,0.0013785,0.0013785,0.0013785
12,13.1327,0.78336,1.00033,0.90326,1,0.37847,0.91279,0.72785,0.74863,2.5433,0.87482,0.00149742,0.00149742,0.00149742
13,13.9259,0.77009,1.0124,0.91807,1,0.70229,0.95708,0.7585,0.77956,2.12348,0.89195,0.00156798,0.00156798,0.00156798
14,14.7167,0.74579,0.93908,0.89476,1,0.70192,0.95869,0.76628,0.73525,2.16736,0.88292,0.00155973,0.00155973,0.00155973
15,15.5199,0.76131,0.96433,0.91326,0.97661,0.75413,0.92924,0.75367,0.71414,2.08182,0.88273,0.00155148,0.00155148,0.00155148
16,16.2962,0.73404,0.93503,0.88944,0.9451,0.86925,0.96044,0.76583,0.78222,1.46145,0.90721,0.00154323,0.00154323,0.00154323
17,17.0727,0.80384,0.9731,0.9658,0.98729,0.84546,0.91415,0.67597,0.8591,1.5002,0.90843,0.00153497,0.00153497,0.00153497
18,17.8492,0.75211,0.97856,0.88916,0.99784,0.85518,0.95301,0.7316,0.81126,1.36943,0.88826,0.00152672,0.00152672,0.00152672
19,18.6505,0.73039,0.9166,0.89789,0.98215,0.94343,0.99063,0.80642,0.74998,1.06823,0.86596,0.00151847,0.00151847,0.00151847
20,19.4302,0.77588,0.87272,0.92107,0.98659,0.89286,0.97797,0.7837,0.74393,0.94094,0.86583,0.00151022,0.00151022,0.00151022
21,20.2248,0.70514,0.80133,0.88386,0.9928,0.89286,0.9544,0.74397,0.77702,0.99541,0.87705,0.00150197,0.00150197,0.00150197
22,21.0338,0.70846,0.82786,0.89671,0.99608,0.92529,0.95382,0.7837,0.72556,1.10474,0.86107,0.00149372,0.00149372,0.00149372
23,21.824,0.71819,0.82055,0.89679,0.97749,0.97028,0.995,0.83812,0.694,0.98904,0.85138,0.00148546,0.00148546,0.00148546
24,22.6396,0.70628,0.75333,0.87438,0.97513,1,0.995,0.81717,0.68939,0.84563,0.84947,0.00147721,0.00147721,0.00147721
25,23.4517,0.67533,0.78476,0.90252,0.98629,1,0.995,0.82155,0.69398,0.81471,0.84464,0.00146896,0.00146896,0.00146896
26,24.2292,0.67295,0.84577,0.88234,0.97717,0.99658,0.995,0.81324,0.74551,0.86698,0.86085,0.00146071,0.00146071,0.00146071
27,25.0215,0.72327,0.81738,0.92674,0.98935,0.99788,0.995,0.81599,0.71787,0.78112,0.84706,0.00145246,0.00145246,0.00145246
